"id","uuid","cultivo","predio","enfermedad","riesgo","lat","lng","biomasa","fecha_inicio_analisis","fecha_termino_analisis","productos"
21926,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-02-01 00:00:00.000,2023-02-07 00:00:00.000,"{"" ""}"
21936,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-03-13 00:00:00.000,2023-03-19 00:00:00.000,"{"" ""}"
21946,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-06-09 00:00:00.000,2023-06-15 00:00:00.000,"{"" ""}"
21955,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-06-13 00:00:00.000,2023-06-19 00:00:00.000,"{"" ""}"
21966,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-07-28 00:00:00.000,2023-08-03 00:00:00.000,"{"" ""}"
21974,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-07-17 00:00:00.000,2023-07-23 00:00:00.000,"{"" ""}"
21982,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-10-05 00:00:00.000,2023-10-11 00:00:00.000,"{"" ""}"
21990,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-11-27 00:00:00.000,2023-12-03 00:00:00.000,"{"" ""}"
22000,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2023-11-17 00:00:00.000,2023-11-23 00:00:00.000,"{"" ""}"
22014,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-06-01 00:00:00.000,2022-06-07 00:00:00.000,"{"" ""}"
22025,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-05-01 00:00:00.000,2022-05-07 00:00:00.000,"{"" ""}"
22036,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-02-25 00:00:00.000,2022-03-03 00:00:00.000,"{"" ""}"
22042,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-07-17 00:00:00.000,2022-07-23 00:00:00.000,"{"" ""}"
22056,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-09-13 00:00:00.000,2022-09-19 00:00:00.000,"{"" ""}"
22064,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-06-21 00:00:00.000,2022-06-27 00:00:00.000,"{"" ""}"
22074,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-10-13 00:00:00.000,2022-10-19 00:00:00.000,"{"" ""}"
22083,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-07-05 00:00:00.000,2022-07-11 00:00:00.000,"{"" ""}"
22096,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-01-28 00:00:00.000,2023-02-03 00:00:00.000,"{"" ""}"
